,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense
35658,Bodily Force,Male,White,Verbal Non-Compliance                                                          ,Kenwood,Poss Personal Injury Acc ,STOLMV
35659,Bodily Force,Male,Native American,Assaulted Officer                                                              ,Lind - Bohanon,Domestic Abuse-In Progress ,DASLT5
35660,Bodily Force,Male,Native American,Other                                                                          ,Lind - Bohanon,Domestic Abuse-In Progress ,DASLT5
35661,Bodily Force,Male,Black,Tensed                                                                         ,Elliot Park,Damage Property-In Progress,OPBOTT
35662,Bodily Force,Male,Black,Tensed                                                                         ,Ventura Village,Unwanted Person ,WT
35663,Bodily Force,Male,Native American,Tensed                                                                         ,CARAG,Theft ,THEFT
35664,Bodily Force,Male,Black,Tensed                                                                         ,Downtown West,Suspicious Person ,OBSTRU
35665,Bodily Force,Male,Black,Tensed                                                                         ,Near - North,Disturbance ,OBSTRU
35666,Bodily Force,Female,Black,Tensed                                                                         ,Steven's Square - Loring Heights,Damage Property-In Progress,DISCON
35667,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,Folwell,Suspicious Vehicle ,NARC
35668,Bodily Force,Male,Black,Other                                                                          ,Hawthorne,Domestic ,DASLT5
35669,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,McKinley,Domestic Abuse-In Progress ,DASTR
35670,Bodily Force,Male,Black,Tensed                                                                         ,Harrison,Domestic Abuse-In Progress ,DASLT5
35671,Chemical Irritant,Female,Black,Other                                                                          ,Cedar Riverside,Fight ,DISCON
35672,Bodily Force,Male,Black,Other                                                                          ,Lowry Hill East,Unknown Trouble ,TRSPAS
35673,Taser,Male,Black,Tensed                                                                         ,Hawthorne,Traffic Law Enforcement ,WEAP
35674,Chemical Irritant,Male,White,Verbal Non-Compliance                                                          ,Lowry Hill East,Suspicious Person ,FORCE
35675,Bodily Force,Male,Native American,Tensed                                                                         ,Downtown West,Suspicious Person ,WT
35676,Taser,Male,Black,Commission of a Crime                                                          ,Downtown West,Suspicious Person ,SHOPLF
35677,Bodily Force,Male,Black,Tensed                                                                         ,Downtown East,Walk Through a Building ,TRSPAS
35678,Bodily Force,Male,Black,Other                                                                          ,Corcoran,Down Outside-One ,CIC
35679,Maximal Restraint Technique,Male,Black,Tensed                                                                         ,King Field,Damage Property-In Progress,DAMPRP
35680,Bodily Force,Male,Black,Tensed                                                                         ,Downtown West,Down Outside-One ,ASLT5
35681,Bodily Force,Male,Black,Assaulted Officer                                                              ,Sumner - Glenwood,Domestic Abuse-In Progress ,DOMEN
35682,Maximal Restraint Technique,Male,Unknown,Assaulted Officer                                                              ,Loring Park,Assault in Progress ,OBSTRU
35683,Bodily Force,Male,White,Other                                                                          ,Hawthorne,Traffic Law Enforcement ,STOLMV
35684,Bodily Force,Male,White,Other                                                                          ,St. Anthony West,Check the Welfare ,CIC
35685,Bodily Force,Male,White,Other                                                                          ,Downtown West,Check the Welfare ,CIC
35687,Bodily Force,Male,White,Assaulted Officer                                                              ,Marcy Holmes,Assault in Progress ,DAMMV
35688,Chemical Irritant,Male,White,Verbal Non-Compliance                                                          ,Downtown West,Fight ,DISCON
35689,Taser,Male,Black,Assaulted Officer                                                              ,CARAG,Officer Needs Help ,ASLT4
35690,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,Mid - City Industrial,Poss Personal Injury Acc ,DWIDRE
35693,Bodily Force,Male,White,Tensed                                                                         ,Whittier,Emotionally Disturb Person ,CIC
35694,Bodily Force,Male,Black,Fled on Foot                                                                   ,Waite Park,Unknown Trouble ,CIC
35695,Bodily Force,Male,Black,Tensed                                                                         ,Northeast Park,Fight ,OBSTRU
35696,Bodily Force,Male,Black,Other                                                                          ,Longfellow,Theft-Hold One Cooperative ,SHOPLF
35697,Bodily Force,Male,Native American,Tensed                                                                         ,Powderhorn Park,Assault in Progress ,ASLT2
35698,Bodily Force,Female,White,Other                                                                          ,Sheridan,Property Damage Accident ,DWI
35699,Bodily Force,Male,Native American,Assaulted Officer                                                              ,Seward,Check the Welfare ,ASLT4
35700,Taser,Male,Black,Verbal Non-Compliance                                                          ,Steven's Square - Loring Heights,Assault in Progress ,DOMEN
35701,Bodily Force,Male,Black,Other                                                                          ,Downtown West,Suspicious Vehicle ,DWIREF
35702,Bodily Force,Female,Asian,Assaulted Officer                                                              ,Victory,Domestic Abuse-In Progress ,ASLT4
35703,Taser,Male,Black,Other                                                                          ,Lowry Hill,Burglary Dwlng In Progress ,BURGD
35704,Bodily Force,Male,Black,Tensed                                                                         ,Northeast Park,Domestic with Weapons ,CIC
35705,Taser,Female,Black,Assaulted Officer                                                              ,Downtown West,Assault in Progress ,ASLT4
35706,Bodily Force,Male,White,Other                                                                          ,Steven's Square - Loring Heights,Emotionally Disturb Person ,CIC
35707,Bodily Force,Male,Black,Commission of a Crime                                                          ,Loring Park,Disturbance ,DISCON
35708,Bodily Force,Male,Black,Fled on Foot                                                                   ,Steven's Square - Loring Heights,Suspicious Person ,WT
35709,Bodily Force,Male,Unknown,Commission of a Crime                                                          ,Downtown West,Drunk/Intoxicated Person ,TRSPAS
35710,Bodily Force,Female,White,Other                                                                          ,Windom Park,Unknown Trouble ,CIC
35711,Chemical Irritant,Male,White,Other                                                                          ,Downtown West,Disturbance ,FORCE
35712,Bodily Force,Male,Native American,Assaulted Officer                                                              ,Seward,Miscellaneous ,ASLT4
35713,Bodily Force,Male,White,Other                                                                          ,Lowry Hill East,Check the Welfare ,CIC
35714,Bodily Force,Male,White,Tensed                                                                         ,Hawthorne,Chase on Foot ,R&C
35715,Bodily Force,Male,Black,Fled on Foot                                                                   ,Midtown Phillips,Suspicious Person ,NARC
35716,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,Phillips West,Auto Theft ,AUTOTH
35717,Bodily Force,Male,White,Assaulted Officer                                                              ,Downtown West,On Site ,ASLT4
35718,Chemical Irritant,Unknown,Unknown,Commission of a Crime                                                          ,Downtown West,Suspicious Person ,DAMMV
35720,Bodily Force,Male,Black,Tensed                                                                         ,Longfellow,Theft ,PSSFIR
35721,Chemical Irritant,Unknown,Black,Commission of a Crime                                                          ,Hawthorne,Directed Patrol ,DISCON
35722,Bodily Force,Male,Black,Other                                                                          ,Whittier,Unknown Trouble ,DISCON
35723,Bodily Force,Male,Black,Other                                                                          ,East Harriet,Domestic Abuse-In Progress ,CIC
35724,Taser,Male,Black,Verbal Non-Compliance                                                          ,Downtown West,Unknown Trouble ,ROBPAG
35725,Maximal Restraint Technique,Male,White,Other                                                                          ,St. Anthony West,Domestic ,DASLT5
35726,Taser,Male,White,Tensed                                                                         ,Loring Park,On Site ,OBSTRU
35727,Bodily Force,Male,White,Tensed                                                                         ,Whittier,Assist Fire Personnel ,DISARM
35728,Bodily Force,Male,Black,Tensed                                                                         ,Near - North,Traffic Law Enforcement ,STOLMV
35729,Bodily Force,Male,White,Tensed                                                                         ,Nicollet Island - East Bank,Customer Trouble ,ASLT4
35730,Bodily Force,Male,Black,Tensed                                                                         ,Folwell,On Site ,TRSPAS
35731,Bodily Force,Male,Black,Other                                                                          ,Hawthorne,Unknown Trouble ,FORCE
35732,Taser,Male,Unknown,Commission of a Crime                                                          ,Nicollet Island - East Bank,Fight ,ASLT2
35733,Bodily Force,Female,Black,Assaulted Officer                                                              ,Tangletown,Disturbance ,ASLT4
35735,Taser,Male,Black,Tensed                                                                         ,Downtown West,Unknown Trouble ,DISCON
35737,Bodily Force,Male,Black,Commission of a Crime                                                          ,Downtown West,Disturbance ,FORCE
35738,Taser,Male,Black,Tensed                                                                         ,Cedar Riverside,Customer Trouble ,THEFT
35739,Bodily Force,not recorded,not recorded,Tensed                                                                         ,Downtown West,Theft - Report Only ,THEFT
35740,Bodily Force,Male,Black,Commission of a Crime                                                          ,Elliot Park,Person with a Gun ,ASLT2
35741,Bodily Force,Male,Black,Other                                                                          ,East Phillips,Unwanted Person ,OBSTRU
35742,Bodily Force,Male,White,Verbal Non-Compliance                                                          ,Bancroft,Traffic Law Enforcement ,TLE
35743,Bodily Force,Male,Black,Tensed                                                                         ,Folwell,Poss Personal Injury Acc ,ASLT4
35745,Chemical Irritant,Male,Unknown,Commission of a Crime                                                          ,Downtown West,Officer Needs Help ,DISCON
35746,Bodily Force,Male,White,Commission of a Crime                                                          ,Lowry Hill East,Damage Property-In Progress,DAMPRP
35749,Bodily Force,Male,Native American,Fled on Foot                                                                   ,East Phillips,Recover Vehicle ,MVTAM
35750,Bodily Force,Male,Black,Assaulted Officer                                                              ,Downtown West,Unknown Trouble ,OBSTRU
35751,Bodily Force,Male,Black,Tensed                                                                         ,McKinley,Domestic Abuse-In Progress ,DASLT2
35752,Bodily Force,Male,White,Other                                                                          ,Whittier,Neighbor Trouble ,CIC
35753,Bodily Force,Male,Unknown,Fled on Foot                                                                   ,East Phillips,Recover Vehicle ,FLEEFT
35754,Bodily Force,Male,Unknown,Other                                                                          ,Downtown West,Suspicious Person ,PRIORI
35755,Taser,Male,White,Tensed                                                                         ,Downtown West,Down Outside-One ,FORCE
35756,Bodily Force,Male,Black,Fled on Foot                                                                   ,Lowry Hill East,Burglary Dwlng In Progress ,BURGD
35757,Bodily Force,Male,Black,Other                                                                          ,Willard - Hay,Domestic Abuse-In Progress ,DASLT5
35758,Bodily Force,Male,Black,Fled on Foot                                                                   ,Jordan,Domestic Abuse-In Progress ,DASTR
35759,Bodily Force,Male,Black,Tensed                                                                         ,Midtown Phillips,Suspicious Vehicle ,WEAPKN
35760,Bodily Force,Male,White,Other                                                                          ,Harrison,Traffic Law Enforcement ,MJINMV
35761,Bodily Force,Male,Black,Other                                                                          ,Jordan,High Risk Warrant Entry ,FINFO
35762,Less Lethal,Male,White,Assaulted Officer                                                              ,Longfellow,Police Event ,FORCE
35763,Chemical Irritant,Male,Unknown,Other                                                                          ,Longfellow,Miscellaneous ,ASLT4
35764,Chemical Irritant,Female,Black,Commission of a Crime                                                          ,Hawthorne,Audible Business Alarm ,BURGB
35765,Less Lethal,Unknown,Unknown,Assaulted Officer                                                              ,Lyndale,Police Event ,ASLT4
35766,Bodily Force,Male,Black,Assaulted Officer                                                              ,Powderhorn Park,Shooting ,ASLT2
35767,Bodily Force,Male,Unknown,Assaulted Officer                                                              ,Elliot Park,Miscellaneous ,ASLT3
35768,Bodily Force,Male,Native American,Fled on Foot                                                                   ,Downtown West,Suspicious Person ,DAMMV
35769,Bodily Force,Male,White,Tensed                                                                         ,Bryn - Mawr,Unwanted Person ,DAMPRP
35770,Bodily Force,Male,Black,Other                                                                          ,Folwell,Suspicious Vehicle ,WEAP
35771,Taser,Male,Black,Tensed                                                                         ,Downtown West,Damage Property-In Progress,DAMPRP
35772,Bodily Force,Male,Black,Fled on Foot                                                                   ,Loring Park,Suspicious Person ,NARC
35773,Bodily Force,Male,White,Tensed                                                                         ,Lynnhurst,Domestic Abuse-In Progress ,BURGD
35774,Chemical Irritant,Unknown,Unknown,Commission of a Crime                                                          ,Downtown West,Suspicious Vehicle ,DAMPRP
35775,Chemical Irritant,Male,Black,Other                                                                          ,Downtown West,Officer Needs Help ,FORCE
35776,Bodily Force,Female,White,Fled in a Vehicle                                                              ,Whittier,Sound of Shots Fired ,STOLMV
35777,Bodily Force,Male,Black,Assaulted Officer                                                              ,Downtown West,Burglary Biz - In Progress ,ASLT3
35778,Bodily Force,Male,White,Commission of a Crime                                                          ,Audubon Park,Domestic Abuse-In Progress ,DASLT5
35779,Maximal Restraint Technique,Male,Black,Other                                                                          ,North Loop,Theft ,TFMV
35780,Bodily Force,Unknown,Unknown,Verbal Non-Compliance                                                          ,Hawthorne,Sound of Shots Fired ,ASLT2
35781,Bodily Force,Male,White,Tensed                                                                         ,Harrison,Overdose-Accidental ,CIC
35783,Bodily Force,Male,White,Other                                                                          ,Marcy Holmes,Prowler ,TRSPAS
35784,Bodily Force,Female,Black,Commission of a Crime                                                          ,Bottineau,Assault in Progress ,ASLT5
35786,Chemical Irritant,Male,White,Tensed                                                                         ,Central,Suspicious Person ,FORCE
35787,Taser,Male,Black,Commission of a Crime                                                          ,Downtown West,Unwanted Person ,ASLT2
35788,Bodily Force,Male,Native American,Other                                                                          ,Lyndale,Emotionally Disturb Person ,CIC
35789,Bodily Force,Male,Black,Other                                                                          ,Cleveland,Domestic Abuse-In Progress ,DASLT5
35790,Chemical Irritant,Male,White,Commission of a Crime                                                          ,Phillips West,Miscellaneous ,ASLT4
35791,Taser,Male,Black,Fled on Foot                                                                   ,Lowry Hill East,Narcotics ,NARC
35792,Bodily Force,Male,Black,Fled in a Vehicle                                                              ,Near - North,Assist Other Agency ,AOA
35793,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,East Isles,Damage Property-Rpt Only ,DAMMV
35794,Taser,Male,White,Fled in a Vehicle                                                              ,Near - North,Suspicious Vehicle ,ASLT2
35795,Bodily Force,Male,Black,Tensed                                                                         ,McKinley,ShotSpotter Activation ,MURDR
35796,Bodily Force,Male,White,Verbal Non-Compliance                                                          ,Ventura Village,Check the Welfare ,CIC
35797,Bodily Force,Female,Black,Tensed                                                                         ,Near - North,Unwanted Person ,TRSPAS
35800,Bodily Force,Male,White,Other                                                                          ,Whittier,Unknown Trouble ,CIC
35801,Bodily Force,Male,White,Tensed                                                                         ,Marcy Holmes,Down Outside-One ,FORCE
35802,Bodily Force,Male,Black,Tensed                                                                         ,Powderhorn Park,Domestic Abuse-In Progress ,DASLT5
35803,Bodily Force,Male,Black,Tensed                                                                         ,Lind - Bohanon,Shooting ,ASLT2
35804,Taser,Male,White,Other                                                                          ,West Calhoun,Burglary Dwlng In Progress ,CIC
35806,Bodily Force,Male,Black,Assaulted Officer                                                              ,Steven's Square - Loring Heights,Assault in Progress ,DOMEN
35807,Chemical Irritant,Male,Black,Commission of a Crime                                                          ,Powderhorn Park,Disturbance ,MISC
35808,Maximal Restraint Technique,Male,Black,Other                                                                          ,Lowry Hill,Burglary Dwlng In Progress ,BURGD
35809,Bodily Force,Male,White,Other                                                                          ,Downtown West,Suspicious Person ,OBSTRU
35810,Bodily Force,Male,Black,Tensed                                                                         ,Northeast Park,Domestic with Weapons ,CIC
35811,Bodily Force,Female,White,Assaulted Officer                                                              ,Downtown West,Poss Personal Injury Acc ,ASLT4
35812,Bodily Force,Male,Black,Tensed                                                                         ,Loring Park,Disturbance ,DISCON
35813,Bodily Force,Male,Black,Commission of a Crime                                                          ,Downtown West,Emotionally Disturb Person ,SHOPLF
35814,Bodily Force,Male,White,Fled on Foot                                                                   ,Lowry Hill East,Check the Welfare ,NARC
35815,Chemical Irritant,Male,Unknown,Commission of a Crime                                                          ,Downtown West,Drunk/Intoxicated Person ,TRSPAS
35816,Bodily Force,Female,Asian,Tensed                                                                         ,Lyndale,Theft ,FORCE
35817,Bodily Force,Female,Unknown,Assaulted Officer                                                              ,Marcy Holmes,Fight ,ASLT4
35818,Bodily Force,Male,White,Other                                                                          ,North Loop,Indecent Exposure ,CIC
35819,Taser,Male,White,Other                                                                          ,Hawthorne,Chase on Foot ,R&C
35820,Chemical Irritant,Female,Unknown,Verbal Non-Compliance                                                          ,Downtown West,Disturbance ,FORCE
35821,Chemical Irritant,Female,Black,Assaulted Officer                                                              ,Downtown West,Fight ,ASLT4
35822,Bodily Force,Female,White,Assaulted Officer                                                              ,Webber - Camden,Domestic with Weapons ,ASLT4
35823,Bodily Force,Male,White,Assaulted Officer                                                              ,Downtown West,On Site ,ASLT4
35824,Bodily Force,Male,Black,Tensed                                                                         ,Cedar Riverside,Burglary Biz - In Progress ,NARC
35825,Taser,Male,White,Fled on Foot                                                                   ,Ventura Village,Chase on Foot ,POSDPA
35826,Taser,Male,Black,Fled on Foot                                                                   ,Whittier,Assault in Progress ,ROBPAG
35827,Bodily Force,Male,Black,Other                                                                          ,Marcy Holmes,Disturbance ,ASLT5
35828,Chemical Irritant,Male,Black,Other                                                                          ,Downtown West,Miscellaneous ,FORCE
35829,Bodily Force,Male,Black,Assaulted Officer                                                              ,Downtown West,Officer Needs Help ,ASLT4
35830,Bodily Force,Male,Black,Other                                                                          ,Loring Park,Emotionally Disturb Person ,CIC
35831,Bodily Force,Male,Asian,Verbal Non-Compliance                                                          ,Whittier,Assault in Progress ,DASLT5
35832,Bodily Force,Male,Black,Other                                                                          ,Near - North,Attempted Suicide ,CIC
35833,Bodily Force,Female,White,Tensed                                                                         ,Whittier,Check the Welfare ,CIC
35834,Taser,Male,Black,Other                                                                          ,Elliot Park,Check the Welfare ,FORCE
35835,Bodily Force,Male,Black,Tensed                                                                         ,Folwell,On Site ,TRSPAS
35836,Bodily Force,Male,White,Tensed                                                                         ,McKinley,Domestic Abuse-In Progress ,DASLT2
35837,Bodily Force,Female,White,Tensed                                                                         ,Folwell,Suspicious Vehicle ,DWI
35838,Taser,Male,Unknown,Verbal Non-Compliance                                                          ,Nicollet Island - East Bank,Fight ,ASLT2
35839,Bodily Force,Male,Black,Fled on Foot                                                                   ,CARAG,Disturbance ,WT
35841,Bodily Force,Male,Black,Assaulted Officer                                                              ,Cleveland,Stabbing ,ASLT2
35842,Taser,Male,Black,Fled on Foot                                                                   ,Folwell,Narcotics ,NARC
35843,Chemical Irritant,Male,White,Commission of a Crime                                                          ,Downtown West,Disturbance ,DISCON
35844,Bodily Force,not recorded,not recorded,Tensed                                                                         ,Downtown West,Theft - Report Only ,THEFT
35845,Bodily Force,Female,Unknown,Verbal Non-Compliance                                                          ,Downtown West,Disturbance ,DISCON
35846,Bodily Force,Female,Black,Assaulted Officer                                                              ,Corcoran,Check the Welfare ,CIC
35847,Bodily Force,Male,White,Other                                                                          ,Steven's Square - Loring Heights,Attempted Suicide ,CIC
35849,Bodily Force,Male,Black,Tensed                                                                         ,Longfellow,Recover Vehicle ,STOLMV
35850,Bodily Force,Male,Black,Tensed                                                                         ,Hawthorne,Suspicious Person ,OBSTRU
35851,Bodily Force,Male,White,Commission of a Crime                                                          ,Lowry Hill East,Damage Property-In Progress,DAMPRP
35852,Bodily Force,Male,Black,Other                                                                          ,Ventura Village,Officer Needs Help ,OBSTRU
35853,Bodily Force,Male,White,Commission of a Crime                                                          ,Downtown West,Drunk/Intoxicated Person ,TRSPAS
35854,Bodily Force,Female,Black,Tensed                                                                         ,Webber - Camden,Domestic Abuse-In Progress ,DASLT2
35856,Bodily Force,Male,White,Assaulted Officer                                                              ,Elliot Park,Fight ,ASLT5
35857,Bodily Force,Male,Black,Tensed                                                                         ,McKinley,Domestic Abuse-In Progress ,DASLT2
35858,Bodily Force,Male,Black,Tensed                                                                         ,Hawthorne,Domestic Abuse-In Progress ,DASLT5
35859,Bodily Force,Male,Black,Fled on Foot                                                                   ,Downtown West,Drunk/Intoxicated Person ,OBSTRU
35860,Bodily Force,Male,White,Tensed                                                                         ,Downtown West,Down Outside-One ,FORCE
35861,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,Howe,Unwanted Person ,TRSPAS
35862,Bodily Force,Male,Black,Other                                                                          ,Como,Domestic Abuse-In Progress ,DASTR
35863,Bodily Force,Male,White,Tensed                                                                         ,Steven's Square - Loring Heights,Disturbance ,OBSTRU
35865,Bodily Force,Male,Black,Assaulted Officer                                                              ,Downtown West,Suspicious Person ,ASLT4
35866,Bodily Force,Male,Unknown,Tensed                                                                         ,Steven's Square - Loring Heights,Check the Welfare ,CIC
35867,Bodily Force,Male,Black,Other                                                                          ,East Phillips,Traffic Law Enforcement ,DWI
35868,Less Lethal,Male,Unknown,Assaulted Officer                                                              ,Longfellow,Police Event ,FORCE
35869,Less Lethal,Male,White,Assaulted Officer                                                              ,Longfellow,Miscellaneous ,ASLT4
35871,Chemical Irritant,Male,White,Verbal Non-Compliance                                                          ,Lowry Hill East,Disturbance ,BURGB
35872,Bodily Force,Male,Black,Commission of a Crime                                                          ,Powderhorn Park,Shooting ,ASLT2
35873,Bodily Force,Male,Black,Fled on Foot                                                                   ,Midtown Phillips,Suspicious Vehicle ,R&C
35874,Taser,Male,White,Assaulted Officer                                                              ,Wenonah,Domestic Abuse-In Progress ,POVIOL
35875,Improvised Weapon,Male,White,Assaulted Officer                                                              ,Bancroft,Fight ,NVA
35876,Bodily Force,Male,Black,Tensed                                                                         ,Tangletown,Audible Alarm ,CURFEW
35877,Bodily Force,Male,Black,Commission of a Crime                                                          ,Hawthorne,Suspicious Person ,PFARM
35878,Chemical Irritant,Male,Black,Tensed                                                                         ,Holland,Unknown Trouble ,DISCON
35879,Bodily Force,Male,Black,Fled on Foot                                                                   ,Marcy Holmes,Theft ,AUTOTH
35880,Chemical Irritant,Male,Unknown,Other                                                                          ,Downtown West,Suspicious Vehicle ,DAMPRP
35881,Taser,Male,Black,Tensed                                                                         ,Powderhorn Park,Officer Needs Help ,DAMMV
35882,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,Downtown West,Disturbance ,LIQMIN
35883,Bodily Force,Female,White,Verbal Non-Compliance                                                          ,Lyndale,Assist EMS Personnel ,CIC
35884,Bodily Force,Male,White,Fled on Foot                                                                   ,CARAG,Indecent Exposure ,INDEX
35885,Bodily Force,Male,Black,Other                                                                          ,Downtown West,Check the Welfare ,CIC
35886,Bodily Force,Male,White,Commission of a Crime                                                          ,Audubon Park,Domestic ,DASTR
35887,Bodily Force,Male,Unknown,Tensed                                                                         ,Seward,Disturbance ,ASLT5
35888,Police K9 Bite,Male,Black,Fled in a Vehicle                                                              ,Jordan,Suspicious Vehicle ,BURGD
35889,Bodily Force,Male,Black,Tensed                                                                         ,Near - North,ShotSpotter Activation ,WEAP
35891,Taser,Female,Unknown,Other                                                                          ,Sheridan,Emotionally Disturb Person ,CIC
35892,Bodily Force,Female,White,Tensed                                                                         ,East Phillips,Attempted Suicide ,CIC
35893,Bodily Force,not recorded,not recorded,Other                                                                          ,Northeast Park,Theft ,THEFT
35894,Bodily Force,Male,Black,Tensed                                                                         ,Cleveland,Domestic Abuse-In Progress ,DASLT5
35895,Bodily Force,Male,Black,Tensed                                                                         ,Marcy Holmes,Check the Welfare ,FORCE
35896,Bodily Force,Male,Black,Tensed                                                                         ,Elliot Park,Domestic Abuse-In Progress ,DASLT2
35897,Bodily Force,Male,White,Tensed                                                                         ,Lowry Hill East,Suspicious Person ,THEFT
35898,Improvised Weapon,Female,White,Other                                                                          ,Lind - Bohanon,Check the Welfare ,CIC
35899,Bodily Force,Female,Unknown,Tensed                                                                         ,McKinley,Emotionally Disturb Person ,CIC
35900,Bodily Force,Male,Black,Commission of a Crime                                                          ,Hawthorne,Domestic Abuse-In Progress ,DASLT5
35901,Bodily Force,Unknown,Unknown,Verbal Non-Compliance                                                          ,Near - North,Suspicious Vehicle ,FLEE
35902,Bodily Force,Male,White,Other                                                                          ,Ventura Village,Check the Welfare ,CIC
35904,Bodily Force,Male,Black,Commission of a Crime                                                          ,Powderhorn Park,Suspicious Vehicle ,MVTAM
35905,Bodily Force,Male,Black,Commission of a Crime                                                          ,Ventura Village,Emotionally Disturb Person ,OBSTRU
35907,Bodily Force,Male,Black,Fled on Foot                                                                   ,Ventura Village,Robbery of Person ,THEFT
35908,Chemical Irritant,Female,Black,Verbal Non-Compliance                                                          ,Folwell,Fight ,FORCE
35909,Bodily Force,Male,White,Other                                                                          ,West Calhoun,Burglary Dwlng In Progress ,CIC
35910,Bodily Force,Male,Native American,Commission of a Crime                                                          ,Whittier,Domestic Abuse-In Progress ,DASLT5
35911,Bodily Force,Male,White,Assaulted Officer                                                              ,Shingle Creek,Disturbance ,ASLT4
35912,Bodily Force,not recorded,not recorded,Other                                                                          ,Windom,Domestic Abuse-In Progress ,DASLT5
35913,Bodily Force,Male,Black,Tensed                                                                         ,Marcy Holmes,Theft ,THFTSW
35914,Bodily Force,Male,White,Verbal Non-Compliance                                                          ,Cedar Riverside,Unwanted Person ,OBSTRU
35915,Taser,Male,Black,Verbal Non-Compliance                                                          ,Willard - Hay,Domestic Abuse-In Progress ,DASTR
35917,Bodily Force,Male,Black,Tensed                                                                         ,Downtown West,Assist a Disabled Person ,DASLT5
35918,Bodily Force,Male,Black,Tensed                                                                         ,Waite Park,Domestic Abuse-In Progress ,ASLT4
35919,Bodily Force,Male,Native American,Tensed                                                                         ,Holland,Unwanted Person ,WT
35920,Bodily Force,Male,Black,Other                                                                          ,Tangletown,Unknown Wireless/Cell Phone,FLEE
35921,Bodily Force,Female,Native American,Other                                                                          ,Northeast Park,Theft ,SHOPLF
35922,Bodily Force,Male,Native American,Fled on Foot                                                                   ,Downtown West,Suspicious Person ,FORCE
35923,Taser,Male,White,Verbal Non-Compliance                                                          ,Windom Park,Check the Welfare ,CIC
35924,Bodily Force,Male,Black,Tensed                                                                         ,Marcy Holmes,Unwanted Person ,CIC
35925,Bodily Force,Male,White,Tensed                                                                         ,Central,Damage Property-In Progress,DAMPRP
35926,Bodily Force,not recorded,not recorded,Assaulted Officer                                                              ,Downtown West,Suspicious Person ,ASLT4
35928,Bodily Force,not recorded,not recorded,Other                                                                          ,Prospect Park - East River Road,Personal Injury Accident ,ASLT5
36015,Bodily Force,Male,Black,Commission of a Crime                                                          ,Whittier,Unknown Wireless/Cell Phone,DASLT5
36016,Bodily Force,Female,Native American,Other                                                                          ,East Phillips,Emotionally Disturb Person ,CIC
36017,Bodily Force,Male,Black,Other                                                                          ,Harrison,Robbery of Biz In Progress ,WEAP
36018,Bodily Force,Male,Black,Commission of a Crime                                                          ,Steven's Square - Loring Heights,Unknown Trouble ,DASTR
36019,Bodily Force,Male,White,Tensed                                                                         ,Windom,Emotionally Disturb Person ,CIC
36021,Bodily Force,Male,Black,Other                                                                          ,Elliot Park,Fight ,FORCE
36022,Bodily Force,Male,Native American,Assaulted Officer                                                              ,Powderhorn Park,Overdose-Accidental ,FORCE
36023,Maximal Restraint Technique,Male,Black,Other                                                                          ,Waite Park,Domestic Abuse-In Progress ,ASLT4
36024,Bodily Force,Female,Black,Commission of a Crime                                                          ,Jordan,Domestic Abuse-In Progress ,DASLT2
36025,Bodily Force,Male,Native American,Commission of a Crime                                                          ,Downtown West,Assist Other Agency ,AOA
36026,Bodily Force,Male,Black,Tensed                                                                         ,Downtown East,Suspicious Vehicle ,STOLMV
36028,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,Keewaydin,Disturbance ,CIC
36030,Bodily Force,Male,Black,Other                                                                          ,Marcy Holmes,Bait Vehicle Auto Theft ,BAITV
36034,Taser,not recorded,not recorded,Commission of a Crime                                                          ,Loring Park,Domestic Abuse-In Progress ,DASTR
36037,Bodily Force,Female,Black,Verbal Non-Compliance                                                          ,Hawthorne,Attempted Suicide ,CIC
36139,Taser,Male,Unknown,X,Phillips West,Overdose w/All ,CIC
36143,Bodily Force,Male,Native American,X,Hawthorne,Suspicious Person ,ASLT4
36762,Bodily Force,Male,Black,Unspecified,Willard - Hay,Domestic Abuse-In Progress ,DASLT5
36763,Bodily Force,Male,White,Assaulted Officer,Downtown West,Suspicious Person ,OBSTRU
36764,Bodily Force,Male,Black,Fled in Vehicle,Willard - Hay,Motor Vehicle Chase ,FLEE
36765,Bodily Force,Female,Black,Assaulted Officer,Downtown West,On Site ,ASLT4
36766,Bodily Force,Male,Black,Assaulted Officer,Marcy Holmes,Fight ,ASLT4
36767,Bodily Force,Male,Black,Assaulted Officer,Elliot Park,Assault in Progress ,ASLT4
36768,Improvised Weapon,Male,Black,Tensed,North Loop,Fight ,DISCON
36769,Bodily Force,Male,Black,Commission of Crime,East Phillips,Suspicious Vehicle ,OBSTRU
36770,Police K9 Bite,Male,Black,Fled on Foot,Sumner - Glenwood,Burglary Biz - In Progress ,BURGB
36771,Bodily Force,Male,Black,Verbal Non-Compliance,Webber - Camden,Sound of Shots Fired ,OBSTRU
36772,Bodily Force,Male,Black,Tensed,Cleveland,Assist Other Agency ,AOA
