,ForceType,Sex,Race,TypeOfResistance,Problem_Group,CenterLongitude,CenterLatitude
341,Bodily Force,Male,Black,commission of crime,Violent,-93.271963,44.981655
342,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.265106,44.963324
343,Less Lethal Weapons,Male,Black,fled,Suspicious & Disorder,-93.263123,45.012669
344,Bodily Force,Male,White,fled,Property & Vehicle,-93.288675,44.955542
345,Chemical Irritant,Female,Black,other/unspecified,Violent,-93.271954,44.982469
346,Less Lethal Weapons,Male,White,tensed,Violent,-93.291785,45.008632
347,Less Lethal Weapons,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.308244,45.014157
348,Bodily Force,Male,Black,commission of crime,Violent,-93.273116,44.981648
349,Bodily Force,Male,Native American,commission of crime,Suspicious & Disorder,-93.251577,44.990909
350,Bodily Force,Male,Black,assaulting police officer or animal,Welfare & Emergency,-93.317204,44.988613
351,Bodily Force,Female,Black,assaulting police officer or animal,Suspicious & Disorder,-93.271699,45.008036
352,Less Lethal Weapons,Male,White,commission of crime,Suspicious & Disorder,-93.24702,44.959744
353,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.301919,44.999113
354,Less Lethal Weapons,Male,White,tensed,Suspicious & Disorder,-93.287418,44.953739
355,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.291183,45.018526
356,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.251092,44.961813
357,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.274109,44.945482
358,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.264618,45.002528
359,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.270211,44.963321
360,Bodily Force,Male,Black,fled,Property & Vehicle,-93.277025,44.978019
361,Bodily Force,Male,Black,tensed,Violent,-93.244784,45.021301
362,Bodily Force,Male,White,verbal non-compliance,Suspicious & Disorder,-93.273109,44.979187
363,Bodily Force,Male,White,tensed,Violent,-93.24865,44.952851
364,Bodily Force,Male,Black,other/unspecified,Property & Vehicle,-93.260605,44.932344
365,Chemical Irritant,Male,Black,tensed,Suspicious & Disorder,-93.271883,44.980065
366,Bodily Force,Male,Black,assaulting police officer or animal,Violent,-93.272499,44.979626
367,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.305715,44.991328
368,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.282003,45.021443
369,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.272499,44.979626
370,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.2802,44.999677
371,Chemical Irritant,Female,Black,commission of crime,Violent,-93.272736,44.984107
372,Bodily Force,Male,Black,tensed,Violent,-93.273141,44.980808
373,Less Lethal Weapons,Male,Native American,commission of crime,Suspicious & Disorder,-93.252392,44.958236
374,Bodily Force,Male,White,tensed,Property & Vehicle,-93.276605,44.951377
375,Bodily Force,Female,Black,tensed,Suspicious & Disorder,-93.268587,44.981232
376,Bodily Force,Male,White,tensed,Violent,-93.24865,44.952851
377,Chemical Irritant,Male,Black,other/unspecified,Violent,-93.273116,44.981648
378,Bodily Force,Male,White,verbal non-compliance,Domestic,-93.218444,44.903566
379,Chemical Irritant,Male,Black,assaulting police officer or animal,Violent,-93.305988,45.034413
380,Less Lethal Weapons,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.288932,44.905087
381,Chemical Irritant,Female,Black,tensed,Property & Vehicle,-93.265644,44.934156
382,Bodily Force,Male,White,assaulting police officer or animal,Violent,-93.242506,44.963381
383,Bodily Force,Female,White,verbal non-compliance,Suspicious & Disorder,-93.255754,44.97231
384,Bodily Force,Female,other,tensed,Domestic,-93.230122,44.989651
385,Chemical Irritant,Male,Black,tensed,Suspicious & Disorder,-93.274773,44.982827
386,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.271963,44.981655
387,Less Lethal Weapons,Male,Black,tensed,Suspicious & Disorder,-93.267033,44.9609
388,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.262552,44.966723
389,Bodily Force,Male,other,verbal non-compliance,Violent,-93.236171,44.980009
390,Guns,Male,Black,commission of crime,Suspicious & Disorder,-93.271963,44.981655
391,Bodily Force,Male,White,tensed,Violent,-93.291785,45.008632
392,Bodily Force,Male,Black,commission of crime,Violent,-93.273116,44.981648
393,Bodily Force,Male,White,verbal non-compliance,Domestic,-93.227596,45.021188
394,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.266452,44.992403
395,Bodily Force,Female,Native American,tensed,Violent,-93.247208,44.959225
396,Bodily Force,Male,Black,other/unspecified,Violent,-93.313983,45.011442
397,Bodily Force,Male,Black,fled,Property & Vehicle,-93.30258,44.991498
398,Less Lethal Weapons,Male,White,other/unspecified,Suspicious & Disorder,-93.24645,45.014969
399,Less Lethal Weapons,Male,Black,tensed,Suspicious & Disorder,-93.268587,44.981232
400,Bodily Force,Male,Black,fled,Property & Vehicle,-93.296221,45.016752
401,Bodily Force,Male,Black,assaulting police officer or animal,Violent,-93.272499,44.979626
402,Bodily Force,Male,Black,fled,Property & Vehicle,-93.299367,45.006856
403,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.272499,44.979626
404,Bodily Force,Male,White,verbal non-compliance,Suspicious & Disorder,-93.278808,44.948347
405,Bodily Force,Male,White,other/unspecified,Property & Vehicle,-93.268892,45.004446
406,Chemical Irritant,Female,Black,verbal non-compliance,Suspicious & Disorder,-93.239666,44.962751
407,Bodily Force,Male,White,tensed,Property & Vehicle,-93.228153,45.028618
408,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.310768,45.00257
409,Bodily Force,Male,White,verbal non-compliance,Property & Vehicle,-93.281842,44.999111
410,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.314608,45.002013
411,Bodily Force,Male,White,fled,Property & Vehicle,-93.304503,44.984396
412,Bodily Force,Male,Black,tensed,Domestic,-93.290726,45.013029
413,Less Lethal Weapons,Male,Black,tensed,Property & Vehicle,-93.274069,44.937458
414,Less Lethal Weapons,Male,Black,fled,Welfare & Emergency,-93.295576,45.008656
415,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.306344,45.013232
416,Bodily Force,Male,Black,verbal non-compliance,Property & Vehicle,-93.298885,44.999886
417,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.284931,45.005356
418,Less Lethal Weapons,Male,White,tensed,Suspicious & Disorder,-93.27023,44.979295
419,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.305715,44.991328
420,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.265106,44.963324
421,Bodily Force,Female,Black,commission of crime,Violent,-93.272736,44.984107
422,Chemical Irritant,Male,Black,tensed,Suspicious & Disorder,-93.252426,44.994219
423,Bodily Force,Male,White,verbal non-compliance,Suspicious & Disorder,-93.273422,44.975433
424,Less Lethal Weapons,Male,Black,commission of crime,Suspicious & Disorder,-93.278819,44.978407
425,Bodily Force,Male,Black,tensed,Domestic,-93.312704,45.015051
426,Bodily Force,Female,White,verbal non-compliance,Property & Vehicle,-93.252446,44.989811
427,Bodily Force,Male,Black,commission of crime,Violent,-93.272499,44.979626
428,Less Lethal Weapons,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.278819,44.978407
429,Bodily Force,Male,White,fled,Property & Vehicle,-93.280631,45.012534
430,Less Lethal Weapons,Male,White,tensed,Suspicious & Disorder,-93.271963,44.981655
431,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.24645,45.014969
432,Less Lethal Weapons,Male,Native American,other/unspecified,Suspicious & Disorder,-93.236084,44.952979
433,Bodily Force,Male,Black,fled,Welfare & Emergency,-93.261097,44.961364
434,Bodily Force,Male,White,fled,Property & Vehicle,-93.288675,44.955542
435,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.307598,45.011433
436,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.284931,45.005356
437,Chemical Irritant,Male,Black,commission of crime,Violent,-93.271963,44.981655
438,Less Lethal Weapons,Male,Native American,tensed,Welfare & Emergency,-93.277915,44.936828
439,Bodily Force,Male,Black,verbal non-compliance,Violent,-93.270222,44.942269
440,Bodily Force,Female,White,verbal non-compliance,Suspicious & Disorder,-93.308302,44.983466
441,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.271559,44.976608
442,Bodily Force,Male,Black,fled,Welfare & Emergency,-93.275347,44.977582
443,Bodily Force,Male,Black,verbal non-compliance,Domestic,-93.284158,45.004803
444,Less Lethal Weapons,Male,White,commission of crime,Suspicious & Disorder,-93.272499,44.979626
445,Bodily Force,Male,White,commission of crime,Violent,-93.234009,44.980431
446,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.2802,44.999677
447,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.294674,44.958344
448,Bodily Force,Female,Black,tensed,Suspicious & Disorder,-93.28886,45.043001
449,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.306344,45.013232
450,Chemical Irritant,Male,Native American,other/unspecified,Suspicious & Disorder,-93.272499,44.979626
451,Bodily Force,Male,Black,other/unspecified,Property & Vehicle,-93.260605,44.932344
452,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.273116,44.981648
453,Bodily Force,Male,Black,commission of crime,Violent,-93.271963,44.981655
454,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.2802,44.999677
455,Bodily Force,Female,Black,other/unspecified,Suspicious & Disorder,-93.278819,44.978407
456,Less Lethal Weapons,Male,Native American,verbal non-compliance,Welfare & Emergency,-93.246769,44.948371
457,Bodily Force,Male,White,verbal non-compliance,Violent,-93.271883,44.980065
458,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.234724,44.951081
459,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.313352,45.012351
460,Bodily Force,Male,White,assaulting police officer or animal,Welfare & Emergency,-93.239211,44.967757
461,Bodily Force,Male,White,verbal non-compliance,Suspicious & Disorder,-93.297004,44.948812
462,Less Lethal Weapons,Male,Black,verbal non-compliance,Violent,-93.30252,45.005992
463,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.307598,45.011433
464,Less Lethal Weapons,Male,Black,commission of crime,Property & Vehicle,-93.304417,45.006903
465,Bodily Force,Male,Black,commission of crime,Violent,-93.271963,44.981655
466,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.299432,44.993608
467,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.303181,45.014115
468,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.28799,45.005355
469,Bodily Force,Male,Black,fled,Property & Vehicle,-93.265644,44.934156
470,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.287074,44.997373
471,Chemical Irritant,Male,Black,verbal non-compliance,Welfare & Emergency,-93.272499,44.979626
472,Bodily Force,Male,Black,fled,Property & Vehicle,-93.31114,45.043941
473,Less Lethal Weapons,Female,Black,tensed,Violent,-93.284933,45.002031
474,Less Lethal Weapons,Male,White,commission of crime,Suspicious & Disorder,-93.273141,44.980808
475,Less Lethal Weapons,Male,other,tensed,Violent,-93.253736,44.952842
476,Bodily Force,Male,White,fled,Suspicious & Disorder,-93.237383,44.983073
477,Bodily Force,Male,Black,fled,Violent,-93.308863,44.993322
478,Chemical Irritant,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.303198,45.02133
479,Bodily Force,Male,Black,tensed,Violent,-93.278819,44.978407
480,Bodily Force,Male,White,fled,Suspicious & Disorder,-93.297004,44.948812
481,Bodily Force,Male,other,verbal non-compliance,Violent,-93.240628,44.945651
482,Bodily Force,Male,White,fled,Suspicious & Disorder,-93.276326,44.978794
483,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.286462,45.005355
484,Less Lethal Weapons,Male,White,commission of crime,Suspicious & Disorder,-93.27196,44.980833
485,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.304417,45.006903
486,Less Lethal Weapons,Male,Black,fled,Violent,-93.27196,44.980833
487,Chemical Irritant,Male,Black,fled,Property & Vehicle,-93.265644,44.934156
488,Less Lethal Weapons,Male,Black,fled,Welfare & Emergency,-93.261097,44.961364
489,Chemical Irritant,Male,White,other/unspecified,Violent,-93.277369,44.973112
490,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.264634,45.008
491,Bodily Force,Male,White,other/unspecified,Suspicious & Disorder,-93.246705,45.00232
492,Less Lethal Weapons,Female,Black,tensed,Domestic,-93.311428,45.01324
493,Bodily Force,Male,Black,verbal non-compliance,Violent,-93.291053,44.996862
494,Bodily Force,Female,Native American,fled,Suspicious & Disorder,-93.274583,44.943509
495,Bodily Force,Male,Black,tensed,Domestic,-93.253961,44.964947
496,Bodily Force,Male,other,fled,Suspicious & Disorder,-93.310768,45.00257
497,Bodily Force,Male,Black,commission of crime,Violent,-93.30129,44.999452
498,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.308244,45.014157
499,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.272088,44.928721
500,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.289814,45.0126
501,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.311222,45.047595
502,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.30258,44.991498
503,Bodily Force,Male,other,tensed,Property & Vehicle,-93.249887,44.995995
504,Bodily Force,Male,Native American,assaulting police officer or animal,Domestic,-93.303252,44.978061
505,Bodily Force,Male,Black,commission of crime,Welfare & Emergency,-93.277816,44.969381
506,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.278819,44.978407
507,Chemical Irritant,Male,Black,commission of crime,Suspicious & Disorder,-93.271883,44.980065
508,Bodily Force,Male,Black,fled,Violent,-93.29717,45.002062
509,Bodily Force,Male,other,assaulting police officer or animal,Violent,-93.273116,44.981648
510,Bodily Force,Male,Black,tensed,Violent,-93.272225,44.948354
511,Bodily Force,Male,Black,verbal non-compliance,Violent,-93.273484,44.948355
512,Bodily Force,Female,Black,other/unspecified,Violent,-93.271458,45.000982
513,Less Lethal Weapons,Male,White,fled,Property & Vehicle,-93.291626,44.978017
514,Less Lethal Weapons,Male,Black,assaulting police officer or animal,Suspicious & Disorder,-93.273141,44.980808
515,Bodily Force,Male,Black,tensed,Violent,-93.253141,44.97541
516,Bodily Force,Male,Native American,tensed,Suspicious & Disorder,-93.231388,44.965032
517,Less Lethal Weapons,Male,White,commission of crime,Property & Vehicle,-93.322646,44.945692
518,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.317197,44.989734
519,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.297004,44.948812
520,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.296221,45.016752
521,Bodily Force,Male,White,verbal non-compliance,Domestic,-93.218444,44.903566
522,Bodily Force,Male,Black,commission of crime,Violent,-93.272499,44.979626
523,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.299432,44.993608
524,Bodily Force,Male,White,fled,Property & Vehicle,-93.280631,45.012534
525,Bodily Force,Male,White,tensed,Violent,-93.27736,44.976774
526,Bodily Force,Male,Black,fled,Welfare & Emergency,-93.275347,44.977582
527,Bodily Force,Female,White,tensed,Suspicious & Disorder,-93.263861,45.005276
528,Less Lethal Weapons,Female,Native American,tensed,Domestic,-93.255216,44.965405
529,Less Lethal Weapons,Male,Black,tensed,Domestic,-93.312704,45.015051
530,Bodily Force,Male,Black,assaulting police officer or animal,Violent,-93.272499,44.979626
531,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.294332,45.014033
532,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.255242,44.987056
533,Less Lethal Weapons,Male,Native American,tensed,Domestic,-93.298045,45.005399
534,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.24645,45.014969
535,Bodily Force,Male,White,verbal non-compliance,Violent,-93.304505,45.02315
536,Less Lethal Weapons,Male,Black,tensed,Welfare & Emergency,-93.234724,44.951081
537,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.278609,44.962693
538,Chemical Irritant,Male,Black,commission of crime,Violent,-93.250304,44.970168
539,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.284931,45.005356
540,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.273116,44.981648
541,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.254345,44.996891
542,Bodily Force,Male,other,commission of crime,Violent,-93.271963,44.981655
543,Less Lethal Weapons,Male,White,commission of crime,Violent,-93.266298,44.99469
544,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.272499,44.979626
545,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.293065,45.012688
546,Bodily Force,Male,White,verbal non-compliance,Violent,-93.304505,45.02315
547,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.272829,44.945813
548,Less Lethal Weapons,Male,White,commission of crime,Suspicious & Disorder,-93.255754,44.97231
549,Less Lethal Weapons,Male,Black,other/unspecified,Violent,-93.262666,44.947487
550,Bodily Force,Male,other,fled,Suspicious & Disorder,-93.310768,45.00257
551,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.268587,44.981232
552,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.278819,44.978407
