,ForceType,Sex,Race,TypeOfResistance,Problem_Group,CenterLongitude,CenterLatitude
309,Bodily Force,Male,Black,tensed,Domestic,-93.253096,44.953739
310,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.281566,44.995809
311,Less Lethal Weapons,Male,White,tensed,Suspicious & Disorder,-93.297004,44.948812
312,Bodily Force,Male,White,tensed,Property & Vehicle,-93.311431,45.011441
313,Chemical Irritant,Male,other,verbal non-compliance,Suspicious & Disorder,-93.271963,44.981655
314,Bodily Force,Male,Black,verbal non-compliance,Property & Vehicle,-93.311817,45.006028
315,Bodily Force,Male,other,fled,Property & Vehicle,-93.307014,45.021359
316,Bodily Force,Male,White,commission of crime,Suspicious & Disorder,-93.24702,44.959744
317,Bodily Force,Male,other,fled,Property & Vehicle,-93.29104,44.98883
318,Bodily Force,Male,Black,fled,Property & Vehicle,-93.293351,44.999153
319,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.305698,45.010519
320,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.264618,45.002528
321,Chemical Irritant,Female,White,commission of crime,Domestic,-93.293832,44.948361
322,Bodily Force,Male,Black,tensed,Domestic,-93.290726,45.013029
323,Less Lethal Weapons,Male,White,fled,Suspicious & Disorder,-93.230707,45.020074
324,Bodily Force,Male,other,tensed,Property & Vehicle,-93.253396,44.988867
325,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.294112,44.996865
326,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.287968,44.962973
327,Bodily Force,Male,Black,fled,Property & Vehicle,-93.296221,45.016752
328,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.288002,45.010125
329,Bodily Force,Male,White,other/unspecified,Welfare & Emergency,-93.278819,44.978407
330,Bodily Force,Male,White,fled,Property & Vehicle,-93.252466,45.007207
331,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.236195,44.960064
332,Chemical Irritant,Female,Black,verbal non-compliance,Suspicious & Disorder,-93.250552,44.953746
333,Bodily Force,Male,Black,tensed,Domestic,-93.247231,45.032532
334,Bodily Force,Male,Native American,tensed,Domestic,-93.283381,45.005359
335,Bodily Force,Male,White,other/unspecified,Suspicious & Disorder,-93.282185,44.948355
336,Bodily Force,Male,White,other/unspecified,Violent,-93.288002,45.010125
337,Bodily Force,Male,White,commission of crime,Violent,-93.272499,44.979626
338,Less Lethal Weapons,Male,other,fled,Property & Vehicle,-93.307014,45.021359
339,Bodily Force,Male,Black,tensed,Domestic,-93.310132,44.998781
340,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.273116,44.981648
