,ForceType,Sex,Race,TypeOfResistance
27056,Bodily Force,Male,Black,tensed
27057,Bodily Force,Male,Black,tensed
27058,Bodily Force,Female,other,other/unspecified
27059,Bodily Force,Male,Native American,fled
27060,Bodily Force,Female,Black,tensed
27061,Bodily Force,Male,Black,fled
27062,Bodily Force,Male,Black,tensed
27063,Chemical Irritant,Male,Black,commission of crime
27064,Less Lethal Weapons,Male,Black,assaulting police officer or animal
27065,Less Lethal Weapons,Male,Native American,verbal non-compliance
27066,Bodily Force,Male,Black,verbal non-compliance
27067,Chemical Irritant,Unknown,Black,commission of crime
27068,Bodily Force,Male,White,fled
27069,Bodily Force,Male,Black,commission of crime
27070,Bodily Force,Male,other,other/unspecified
27071,Bodily Force,Male,Black,verbal non-compliance
27072,Bodily Force,Male,Black,tensed
27073,Chemical Irritant,Male,Black,commission of crime
27074,Bodily Force,Male,White,assaulting police officer or animal
27075,Bodily Force,Female,Black,other/unspecified
27076,Bodily Force,Male,Black,commission of crime
27077,Bodily Force,Male,Black,tensed
27078,Bodily Force,Male,Black,fled
27079,Bodily Force,Female,Black,tensed
27080,Bodily Force,Male,other,tensed
27081,Bodily Force,Male,White,verbal non-compliance
27082,Chemical Irritant,Female,Black,other/unspecified
27083,Bodily Force,Female,Black,tensed
27084,Bodily Force,Male,White,tensed
27085,Bodily Force,Male,Black,tensed
27086,Bodily Force,Male,Black,tensed
27087,Bodily Force,Female,Black,commission of crime
27088,Bodily Force,Male,other,commission of crime
27089,Bodily Force,Male,Black,fled
27090,Bodily Force,Male,White,assaulting police officer or animal
27091,Bodily Force,Female,White,assaulting police officer or animal
27092,Bodily Force,Female,White,tensed
27093,Less Lethal Weapons,Female,Black,tensed
27094,Less Lethal Weapons,Male,Black,tensed
27095,Bodily Force,Male,White,verbal non-compliance
27096,Less Lethal Weapons,Male,White,fled
27097,Bodily Force,Male,White,other/unspecified
27098,Bodily Force,Male,Black,fled
27099,Bodily Force,Male,Black,other/unspecified
27100,Chemical Irritant,Male,White,verbal non-compliance
27101,Bodily Force,Male,other,fled
27102,Bodily Force,Male,Black,assaulting police officer or animal
27103,Bodily Force,Male,Black,fled
27104,Bodily Force,Male,White,other/unspecified
27105,Bodily Force,Male,Black,tensed
27106,Bodily Force,Male,Native American,tensed
27107,Bodily Force,Male,Black,tensed
27108,Bodily Force,Male,Native American,tensed
27109,Less Lethal Weapons,Male,Black,tensed
27110,Bodily Force,Male,Black,tensed
27111,Bodily Force,Male,Black,tensed
27112,Chemical Irritant,Male,Black,verbal non-compliance
27113,Bodily Force,Male,Black,fled
27114,Bodily Force,Male,White,tensed
27115,Bodily Force,Male,Black,tensed
27116,Bodily Force,Male,other,tensed
27117,Bodily Force,Male,Black,verbal non-compliance
27118,Bodily Force,Male,White,assaulting police officer or animal
27119,Bodily Force,Male,White,assaulting police officer or animal
27120,Bodily Force,Male,Black,other/unspecified
27121,Bodily Force,Male,White,verbal non-compliance
27122,Bodily Force,Male,Native American,assaulting police officer or animal
27123,Bodily Force,Male,Native American,other/unspecified
27124,Bodily Force,Male,Black,tensed
27125,Bodily Force,Male,Black,tensed
27126,Bodily Force,Male,Native American,tensed
27127,Bodily Force,Male,Black,tensed
27128,Bodily Force,Male,Black,tensed
27129,Bodily Force,Female,Black,tensed
27130,Bodily Force,Male,Black,verbal non-compliance
27131,Bodily Force,Male,Black,other/unspecified
27132,Bodily Force,Male,Black,verbal non-compliance
27133,Bodily Force,Male,Black,tensed
27134,Chemical Irritant,Female,Black,other/unspecified
27135,Bodily Force,Male,Black,other/unspecified
27136,Less Lethal Weapons,Male,Black,tensed
27137,Chemical Irritant,Male,White,verbal non-compliance
27138,Bodily Force,Male,Native American,tensed
27139,Less Lethal Weapons,Male,Black,commission of crime
27140,Bodily Force,Male,Black,tensed
27141,Bodily Force,Male,Black,other/unspecified
27142,Bodily Force,Male,Black,tensed
27143,Bodily Force,Male,Black,tensed
27144,Bodily Force,Male,Black,assaulting police officer or animal
27145,Bodily Force,Male,other,assaulting police officer or animal
27146,Bodily Force,Male,White,other/unspecified
27147,Bodily Force,Male,White,other/unspecified
27148,Bodily Force,Male,White,other/unspecified
27149,Bodily Force,Male,White,assaulting police officer or animal
27150,Chemical Irritant,Male,White,verbal non-compliance
27151,Less Lethal Weapons,Male,Black,assaulting police officer or animal
27152,Bodily Force,Male,Black,verbal non-compliance
27153,Bodily Force,Male,White,tensed
27154,Bodily Force,Male,Black,fled
27155,Bodily Force,Male,Black,tensed
27156,Bodily Force,Male,Black,other/unspecified
27157,Bodily Force,Male,Native American,tensed
27158,Bodily Force,Female,White,other/unspecified
27159,Bodily Force,Male,Native American,assaulting police officer or animal
27160,Less Lethal Weapons,Male,Black,verbal non-compliance
27161,Bodily Force,Male,Black,other/unspecified
27162,Bodily Force,Female,other,assaulting police officer or animal
27163,Less Lethal Weapons,Male,Black,other/unspecified
27164,Bodily Force,Male,Black,tensed
27165,Less Lethal Weapons,Female,Black,assaulting police officer or animal
27166,Bodily Force,Male,White,other/unspecified
27167,Bodily Force,Male,Black,commission of crime
27168,Bodily Force,Male,Black,fled
27169,Bodily Force,Male,other,commission of crime
27170,Bodily Force,Female,White,other/unspecified
27171,Chemical Irritant,Male,White,other/unspecified
27172,Bodily Force,Male,Native American,assaulting police officer or animal
27173,Bodily Force,Male,White,other/unspecified
27174,Bodily Force,Male,White,tensed
27175,Bodily Force,Male,Black,fled
27176,Bodily Force,Male,Black,verbal non-compliance
27177,Bodily Force,Male,White,assaulting police officer or animal
27178,Chemical Irritant,Unknown,other,commission of crime
27179,Bodily Force,Male,Black,tensed
27180,Chemical Irritant,Unknown,Black,commission of crime
27181,Bodily Force,Male,Black,other/unspecified
27182,Bodily Force,Male,Black,other/unspecified
27183,Less Lethal Weapons,Male,Black,verbal non-compliance
27184,Bodily Force,Male,White,other/unspecified
27185,Less Lethal Weapons,Male,White,tensed
27186,Bodily Force,Male,White,tensed
27187,Bodily Force,Male,Black,tensed
27188,Bodily Force,Male,White,tensed
27189,Bodily Force,Male,Black,tensed
27190,Bodily Force,Male,Black,other/unspecified
27191,Less Lethal Weapons,Male,other,commission of crime
27192,Bodily Force,Female,Black,assaulting police officer or animal
27193,Less Lethal Weapons,Male,Black,tensed
27194,Bodily Force,Male,Black,commission of crime
27195,Less Lethal Weapons,Male,Black,tensed
27197,Bodily Force,Male,Black,commission of crime
27198,Bodily Force,Male,Black,other/unspecified
27199,Bodily Force,Male,White,verbal non-compliance
27200,Bodily Force,Male,Black,tensed
27201,Chemical Irritant,Male,other,commission of crime
27202,Bodily Force,Male,White,commission of crime
27203,Bodily Force,Male,Native American,fled
27204,Bodily Force,Male,Black,assaulting police officer or animal
27205,Bodily Force,Male,Black,tensed
27206,Bodily Force,Male,White,other/unspecified
27207,Bodily Force,Male,other,fled
27208,Bodily Force,Male,other,other/unspecified
27209,Less Lethal Weapons,Male,White,tensed
27210,Bodily Force,Male,Black,fled
27211,Bodily Force,Male,Black,other/unspecified
27212,Bodily Force,Male,Black,fled
27213,Bodily Force,Male,Black,tensed
27214,Bodily Force,Male,White,other/unspecified
27215,Bodily Force,Male,Black,other/unspecified
27216,Less Lethal Weapons,Male,White,assaulting police officer or animal
27217,Chemical Irritant,Male,other,other/unspecified
27218,Chemical Irritant,Female,Black,commission of crime
27219,Less Lethal Weapons,Unknown,other,assaulting police officer or animal
27220,Bodily Force,Male,Black,assaulting police officer or animal
27221,Bodily Force,Male,other,assaulting police officer or animal
27222,Bodily Force,Male,Native American,fled
27223,Bodily Force,Male,White,tensed
27224,Bodily Force,Male,Black,other/unspecified
27225,Less Lethal Weapons,Male,Black,tensed
27226,Bodily Force,Male,Black,fled
27227,Bodily Force,Male,White,tensed
27228,Chemical Irritant,Unknown,other,commission of crime
27229,Chemical Irritant,Male,Black,other/unspecified
27230,Bodily Force,Female,White,fled
27231,Bodily Force,Male,Black,assaulting police officer or animal
27232,Bodily Force,Male,White,commission of crime
27233,Bodily Force,Male,Black,other/unspecified
27234,Bodily Force,Unknown,other,verbal non-compliance
27235,Bodily Force,Male,White,tensed
27236,Bodily Force,Male,White,other/unspecified
27237,Bodily Force,Female,Black,commission of crime
27238,Chemical Irritant,Male,White,tensed
27239,Less Lethal Weapons,Male,Black,commission of crime
27240,Bodily Force,Male,Native American,other/unspecified
27241,Bodily Force,Male,Black,other/unspecified
27242,Chemical Irritant,Male,White,commission of crime
27243,Less Lethal Weapons,Male,Black,fled
27244,Bodily Force,Male,Black,fled
27245,Bodily Force,Male,Black,verbal non-compliance
27246,Less Lethal Weapons,Male,White,fled
27247,Bodily Force,Male,Black,tensed
27248,Bodily Force,Male,White,verbal non-compliance
27249,Bodily Force,Female,Black,tensed
27250,Bodily Force,Male,White,other/unspecified
27251,Bodily Force,Male,White,tensed
27252,Bodily Force,Male,Black,tensed
27253,Bodily Force,Male,Black,tensed
27254,Less Lethal Weapons,Male,White,other/unspecified
27255,Bodily Force,Male,Black,assaulting police officer or animal
27256,Chemical Irritant,Male,Black,commission of crime
27257,Bodily Force,Male,Black,other/unspecified
27258,Bodily Force,Male,White,other/unspecified
27259,Bodily Force,Male,Black,tensed
27260,Bodily Force,Female,White,assaulting police officer or animal
27261,Bodily Force,Male,Black,tensed
27262,Bodily Force,Male,Black,commission of crime
27263,Bodily Force,Male,White,fled
27264,Chemical Irritant,Male,other,commission of crime
27265,Bodily Force,Female,other,tensed
27266,Bodily Force,Female,other,assaulting police officer or animal
27267,Bodily Force,Male,White,other/unspecified
27268,Less Lethal Weapons,Male,White,other/unspecified
27269,Chemical Irritant,Female,other,verbal non-compliance
27270,Chemical Irritant,Female,Black,assaulting police officer or animal
27271,Bodily Force,Female,White,assaulting police officer or animal
27272,Bodily Force,Male,White,assaulting police officer or animal
27273,Bodily Force,Male,Black,tensed
27274,Less Lethal Weapons,Male,White,fled
27275,Less Lethal Weapons,Male,Black,fled
27276,Bodily Force,Male,Black,other/unspecified
27277,Chemical Irritant,Male,Black,other/unspecified
27278,Bodily Force,Male,Black,assaulting police officer or animal
27279,Bodily Force,Male,Black,other/unspecified
27280,Bodily Force,Male,other,verbal non-compliance
27281,Bodily Force,Male,Black,other/unspecified
27282,Bodily Force,Female,White,tensed
27283,Less Lethal Weapons,Male,Black,other/unspecified
27284,Bodily Force,Male,Black,tensed
27285,Bodily Force,Male,White,tensed
27286,Bodily Force,Female,White,tensed
27287,Less Lethal Weapons,Male,other,verbal non-compliance
27288,Bodily Force,Male,Black,fled
27289,Bodily Force,Male,Black,assaulting police officer or animal
27290,Less Lethal Weapons,Male,Black,fled
27291,Chemical Irritant,Male,White,commission of crime
27293,Bodily Force,Female,other,verbal non-compliance
27294,Bodily Force,Female,Black,assaulting police officer or animal
27295,Bodily Force,Male,White,other/unspecified
27296,Bodily Force,Male,Black,tensed
27297,Bodily Force,Male,Black,tensed
27298,Bodily Force,Male,White,commission of crime
27299,Bodily Force,Male,Black,other/unspecified
27300,Bodily Force,Male,White,commission of crime
27301,Bodily Force,Female,Black,tensed
27302,Bodily Force,Male,White,assaulting police officer or animal
27303,Bodily Force,Male,Black,tensed
27304,Bodily Force,Male,Black,tensed
27305,Bodily Force,Male,Black,fled
27306,Bodily Force,Male,White,tensed
27307,Bodily Force,Male,Black,verbal non-compliance
27308,Bodily Force,Male,Black,other/unspecified
27309,Bodily Force,Male,White,tensed
27310,Bodily Force,Male,Black,assaulting police officer or animal
27311,Bodily Force,Male,other,tensed
27312,Bodily Force,Male,Black,other/unspecified
27313,Less Lethal Weapons,Male,other,assaulting police officer or animal
27314,Less Lethal Weapons,Male,White,assaulting police officer or animal
27315,Chemical Irritant,Male,White,verbal non-compliance
27316,Bodily Force,Male,Black,commission of crime
27317,Bodily Force,Male,Black,fled
27318,Less Lethal Weapons,Male,White,assaulting police officer or animal
27319,Less Lethal Weapons,Male,White,assaulting police officer or animal
27320,Bodily Force,Male,Black,tensed
27321,Bodily Force,Male,Black,commission of crime
27322,Chemical Irritant,Male,Black,tensed
27323,Bodily Force,Male,Black,fled
27324,Chemical Irritant,Male,other,other/unspecified
27325,Less Lethal Weapons,Male,Black,tensed
27326,Bodily Force,Male,Black,verbal non-compliance
27327,Bodily Force,Female,White,verbal non-compliance
27328,Bodily Force,Male,White,fled
27329,Bodily Force,Male,Black,other/unspecified
27330,Bodily Force,Male,White,commission of crime
27331,Bodily Force,Male,other,tensed
27332,Less Lethal Weapons,Male,Black,fled
27333,Bodily Force,Male,Black,tensed
27334,Less Lethal Weapons,Female,other,other/unspecified
27335,Bodily Force,Female,White,tensed
27337,Bodily Force,Male,Black,tensed
27338,Bodily Force,Male,Black,tensed
27339,Bodily Force,Male,Black,tensed
27340,Bodily Force,Male,White,tensed
27341,Less Lethal Weapons,Female,White,other/unspecified
27342,Bodily Force,Female,other,tensed
27343,Bodily Force,Male,Black,commission of crime
27344,Bodily Force,Unknown,other,verbal non-compliance
27345,Bodily Force,Male,White,other/unspecified
27346,Bodily Force,Male,Black,commission of crime
27347,Bodily Force,Male,Black,commission of crime
27348,Bodily Force,Male,Black,fled
27349,Chemical Irritant,Female,Black,verbal non-compliance
27350,Bodily Force,Male,White,other/unspecified
27351,Bodily Force,Male,Native American,commission of crime
27352,Bodily Force,Male,White,assaulting police officer or animal
27354,Bodily Force,Male,Black,tensed
27355,Bodily Force,Male,White,verbal non-compliance
27356,Less Lethal Weapons,Male,Black,verbal non-compliance
27357,Bodily Force,Male,Black,tensed
27358,Bodily Force,Male,Black,tensed
27359,Bodily Force,Male,Native American,tensed
27360,Bodily Force,Male,Black,other/unspecified
27361,Bodily Force,Female,Native American,other/unspecified
27362,Bodily Force,Male,Native American,fled
27363,Less Lethal Weapons,Male,White,verbal non-compliance
27364,Bodily Force,Male,Black,tensed
27365,Bodily Force,Male,White,tensed
27368,Bodily Force,Male,Black,commission of crime
27369,Bodily Force,Female,Native American,other/unspecified
27370,Bodily Force,Male,Black,other/unspecified
27371,Bodily Force,Male,Black,commission of crime
27372,Bodily Force,Male,White,tensed
27373,Bodily Force,Male,Black,other/unspecified
27374,Bodily Force,Male,Native American,assaulting police officer or animal
27375,Bodily Force,Male,Black,other/unspecified
27376,Bodily Force,Female,Black,commission of crime
27377,Bodily Force,Male,Native American,commission of crime
27378,Bodily Force,Male,Black,tensed
27379,Bodily Force,Male,Black,verbal non-compliance
27380,Bodily Force,Male,Black,other/unspecified
27382,Bodily Force,Female,Black,verbal non-compliance
27385,Bodily Force,Male,Black,other/unspecified
27386,Bodily Force,Male,White,assaulting police officer or animal
27387,Bodily Force,Male,Black,fled
27388,Bodily Force,Female,Black,assaulting police officer or animal
27389,Bodily Force,Male,Black,assaulting police officer or animal
27390,Bodily Force,Male,Black,assaulting police officer or animal
27391,Less Lethal Weapons,Male,Black,tensed
27392,Bodily Force,Male,Black,commission of crime
27393,Less Lethal Weapons,Male,Black,fled
27394,Bodily Force,Male,Black,verbal non-compliance
27395,Bodily Force,Male,Black,tensed
27396,Chemical Irritant,Male,White,tensed
27397,Bodily Force,Male,Black,commission of crime
27398,Bodily Force,Male,Native American,verbal non-compliance
27399,Bodily Force,Male,Black,fled
27400,Bodily Force,Male,White,other/unspecified
27401,Less Lethal Weapons,Male,White,commission of crime
27402,Bodily Force,Male,White,fled
27403,Bodily Force,Male,Black,verbal non-compliance
27404,Bodily Force,Male,Black,verbal non-compliance
27405,Bodily Force,Male,White,tensed
27406,Bodily Force,Male,Black,fled
27407,Bodily Force,Male,Black,fled
27408,Bodily Force,Female,Black,assaulting police officer or animal
27409,Bodily Force,Male,Black,verbal non-compliance
27410,Bodily Force,Female,Black,assaulting police officer or animal
27411,Bodily Force,Male,Black,tensed
27412,Bodily Force,Male,White,tensed
27413,Bodily Force,Male,Black,assaulting police officer or animal
27414,Less Lethal Weapons,Male,Black,other/unspecified
27415,Bodily Force,Male,Black,verbal non-compliance
27416,Less Lethal Weapons,Male,other,fled
27417,Bodily Force,Male,Black,tensed
27418,Bodily Force,Male,Black,fled
27419,Chemical Irritant,Male,White,commission of crime
27420,Chemical Irritant,Female,Black,commission of crime
27421,Bodily Force,Male,Black,assaulting police officer or animal
27422,Bodily Force,Male,Black,tensed
27423,Bodily Force,Male,White,fled
27424,Bodily Force,Male,Black,verbal non-compliance
27425,Bodily Force,Male,Black,fled
27426,Bodily Force,Male,Black,other/unspecified
27427,Less Lethal Weapons,Male,Black,fled
27428,Chemical Irritant,Male,White,verbal non-compliance
27429,Less Lethal Weapons,Unknown,other,other/unspecified
27430,Bodily Force,Male,Black,verbal non-compliance
27431,Bodily Force,Male,White,commission of crime
27432,Bodily Force,Male,Black,other/unspecified
27433,Bodily Force,Male,Black,tensed
27434,Bodily Force,Male,Black,commission of crime
27435,Less Lethal Weapons,Male,Black,verbal non-compliance
27436,Bodily Force,Male,White,tensed
27437,Bodily Force,Male,Black,assaulting police officer or animal
27438,Bodily Force,Male,White,commission of crime
27439,Bodily Force,Male,Black,verbal non-compliance
27440,Bodily Force,Male,Black,tensed
27441,Chemical Irritant,Male,Black,tensed
27442,Bodily Force,Male,White,fled
27443,Bodily Force,Female,Black,other/unspecified
27444,Bodily Force,Male,other,verbal non-compliance
27445,Bodily Force,Male,Black,assaulting police officer or animal
27446,Chemical Irritant,Unknown,other,verbal non-compliance
27447,Bodily Force,Male,White,other/unspecified
27448,Less Lethal Weapons,Male,Black,commission of crime
27449,Bodily Force,Male,Black,commission of crime
27450,Bodily Force,Male,other,tensed
27451,Bodily Force,Male,White,assaulting police officer or animal
27452,Bodily Force,Male,White,assaulting police officer or animal
27453,Bodily Force,Male,Black,commission of crime
27454,Bodily Force,Male,White,other/unspecified
27455,Bodily Force,Female,Black,verbal non-compliance
27456,Less Lethal Weapons,Male,White,verbal non-compliance
27457,Less Lethal Weapons,Male,White,assaulting police officer or animal
27458,Bodily Force,Male,Black,fled
27459,Bodily Force,Male,Native American,other/unspecified
27460,Bodily Force,Male,Black,other/unspecified
27461,Less Lethal Weapons,Male,Black,commission of crime
27462,Bodily Force,Male,Black,other/unspecified
27463,Bodily Force,Male,Black,commission of crime
27464,Chemical Irritant,Male,White,assaulting police officer or animal
27465,Bodily Force,Female,Black,tensed
27466,Bodily Force,Male,Black,fled
27467,Bodily Force,Male,White,commission of crime
27468,Bodily Force,Male,White,other/unspecified
27469,Bodily Force,Male,Black,tensed
27470,Bodily Force,Female,Black,commission of crime
27471,Less Lethal Weapons,Male,Black,other/unspecified
27472,Less Lethal Weapons,Male,Black,commission of crime
27473,Less Lethal Weapons,Male,Black,verbal non-compliance
27474,Bodily Force,Male,Black,tensed
27475,Bodily Force,Male,Black,assaulting police officer or animal
27476,Bodily Force,Male,Native American,tensed
27477,Bodily Force,Male,other,fled
27478,Bodily Force,Female,White,verbal non-compliance
27479,Bodily Force,Male,Black,fled
27480,Chemical Irritant,Female,Black,assaulting police officer or animal
27481,Less Lethal Weapons,Male,White,commission of crime
27482,Bodily Force,Male,other,verbal non-compliance
27483,Less Lethal Weapons,Male,Black,verbal non-compliance
27484,Bodily Force,Male,Black,assaulting police officer or animal
27485,Bodily Force,Male,Black,fled
27486,Bodily Force,Male,Black,commission of crime
27487,Bodily Force,Male,Black,tensed
27488,Bodily Force,Male,Black,tensed
27489,Chemical Irritant,Male,Black,verbal non-compliance
27490,Bodily Force,Male,Black,fled
27491,Bodily Force,Male,Black,tensed
27492,Bodily Force,Male,Black,fled
27493,Less Lethal Weapons,Male,White,commission of crime
27494,Bodily Force,Male,Black,verbal non-compliance
27495,Chemical Irritant,Male,Black,verbal non-compliance
27496,Bodily Force,Male,White,tensed
27497,Chemical Irritant,Female,Black,assaulting police officer or animal
27498,Bodily Force,Male,Black,tensed
27499,Bodily Force,Female,Black,assaulting police officer or animal
27500,Less Lethal Weapons,Male,White,fled
27501,Bodily Force,Male,White,verbal non-compliance
27502,Bodily Force,Female,Black,commission of crime
27503,Bodily Force,Male,White,tensed
27504,Bodily Force,Male,Black,fled
27505,Less Lethal Weapons,Male,other,commission of crime
27506,Chemical Irritant,Male,Black,commission of crime
27507,Chemical Irritant,Male,Black,commission of crime
27508,Bodily Force,Male,Black,other/unspecified
27509,Less Lethal Weapons,Male,Black,fled
27510,Bodily Force,Male,Black,fled
27511,Chemical Irritant,Female,Black,commission of crime
27512,Less Lethal Weapons,Male,Black,other/unspecified
27513,Less Lethal Weapons,Male,Black,assaulting police officer or animal
27514,Bodily Force,Male,Black,fled
27515,Bodily Force,Male,White,verbal non-compliance
27516,Bodily Force,Male,Native American,assaulting police officer or animal
27517,Bodily Force,Male,Black,tensed
27518,Bodily Force,Male,Black,fled
27519,Bodily Force,Male,White,tensed
27520,Bodily Force,Male,Black,assaulting police officer or animal
27521,Chemical Irritant,Male,other,tensed
27522,Bodily Force,Male,Black,fled
27523,Bodily Force,Male,Black,commission of crime
27524,Bodily Force,Male,Black,fled
27525,Bodily Force,Male,Black,other/unspecified
27526,Bodily Force,Male,Native American,fled
27527,Bodily Force,Male,Black,verbal non-compliance
27528,Less Lethal Weapons,Male,Black,verbal non-compliance
27529,Bodily Force,Male,White,verbal non-compliance
27530,Bodily Force,Male,Black,assaulting police officer or animal
27531,Chemical Irritant,Male,other,verbal non-compliance
27532,Bodily Force,Female,Black,verbal non-compliance
27533,Bodily Force,Male,Black,tensed
27534,Bodily Force,Male,Black,fled
27535,Bodily Force,Female,Black,other/unspecified
27536,Bodily Force,Male,other,verbal non-compliance
27537,Bodily Force,Male,Native American,tensed
27538,Bodily Force,Male,Black,assaulting police officer or animal
27539,Less Lethal Weapons,Male,Black,tensed
27540,Bodily Force,Male,White,fled
27541,Bodily Force,Male,Black,fled
27542,Chemical Irritant,Male,White,tensed
27543,Bodily Force,Male,White,commission of crime
27544,Bodily Force,Male,White,assaulting police officer or animal
27545,Bodily Force,Unknown,other,verbal non-compliance
27546,Chemical Irritant,Male,Black,commission of crime
27547,Bodily Force,Male,White,fled
27548,Bodily Force,Male,Black,verbal non-compliance
27549,Chemical Irritant,Male,Black,commission of crime
27550,Bodily Force,Male,Black,commission of crime
27551,Bodily Force,Male,Native American,other/unspecified
27552,Less Lethal Weapons,Male,Native American,fled
27553,Bodily Force,Male,other,fled
27554,Bodily Force,Male,Black,fled
27555,Less Lethal Weapons,Male,Black,tensed
27556,Bodily Force,Male,White,verbal non-compliance
27557,Chemical Irritant,Male,White,other/unspecified
27558,Bodily Force,Male,Black,commission of crime
27559,Chemical Irritant,Male,Black,commission of crime
27560,Bodily Force,Male,White,other/unspecified
27561,Chemical Irritant,Female,White,tensed
27562,Bodily Force,Male,Black,fled
27563,Bodily Force,Male,Black,other/unspecified
27564,Bodily Force,Male,White,commission of crime
27565,Bodily Force,Male,Black,verbal non-compliance
27566,Chemical Irritant,Male,Black,commission of crime
27567,Less Lethal Weapons,Male,Black,other/unspecified
27568,Bodily Force,Male,Black,other/unspecified
27569,Bodily Force,Male,Black,verbal non-compliance
27570,Bodily Force,Male,Black,assaulting police officer or animal
27571,Bodily Force,Male,other,fled
27572,Bodily Force,Male,Black,other/unspecified
27573,Bodily Force,Male,White,commission of crime
27574,Bodily Force,Male,Black,tensed
27575,Bodily Force,Male,White,assaulting police officer or animal
27576,Bodily Force,Male,White,tensed
27577,Chemical Irritant,Male,other,commission of crime
27578,Bodily Force,Male,White,tensed
27579,Bodily Force,Male,White,fled
27580,Bodily Force,Male,Black,assaulting police officer or animal
27581,Bodily Force,Male,Black,fled
27582,Chemical Irritant,Female,Black,commission of crime
27583,Bodily Force,Male,Black,fled
27584,Bodily Force,Male,White,commission of crime
27585,Less Lethal Weapons,Male,White,commission of crime
27586,Bodily Force,Male,Native American,fled
27587,Bodily Force,Male,White,tensed
27588,Bodily Force,Male,White,commission of crime
27589,Bodily Force,Male,White,commission of crime
27590,Bodily Force,Male,Black,verbal non-compliance
27591,Chemical Irritant,Male,White,tensed
27592,Chemical Irritant,Male,Black,verbal non-compliance
27593,Bodily Force,Male,White,other/unspecified
27594,Bodily Force,Male,Black,other/unspecified
27595,Bodily Force,Female,Black,assaulting police officer or animal
27596,Less Lethal Weapons,Male,Black,tensed
27597,Bodily Force,Male,White,other/unspecified
27598,Chemical Irritant,Female,Black,commission of crime
27599,Bodily Force,Male,Black,verbal non-compliance
27600,Bodily Force,Male,other,assaulting police officer or animal
27601,Bodily Force,Male,Black,fled
27602,Bodily Force,Male,White,fled
27603,Bodily Force,Male,White,assaulting police officer or animal
27604,Bodily Force,Female,Black,other/unspecified
27605,Bodily Force,Male,Black,fled
27606,Bodily Force,Male,Black,other/unspecified
27607,Bodily Force,Male,Black,fled
27608,Bodily Force,Male,Black,tensed
27609,Bodily Force,Male,Native American,assaulting police officer or animal
27610,Chemical Irritant,Female,Black,other/unspecified
27611,Chemical Irritant,Male,Black,commission of crime
27612,Bodily Force,Male,Black,fled
27613,Bodily Force,Male,White,tensed
27614,Bodily Force,Male,Black,tensed
27615,Chemical Irritant,Male,other,verbal non-compliance
27616,Bodily Force,Male,White,other/unspecified
27617,Chemical Irritant,Male,White,other/unspecified
27618,Bodily Force,Male,Black,fled
27619,Bodily Force,Male,Black,verbal non-compliance
27620,Bodily Force,Male,Black,fled
27621,Bodily Force,Male,Black,tensed
27622,Less Lethal Weapons,Male,Black,commission of crime
27623,Bodily Force,Male,Native American,tensed
27624,Bodily Force,Male,White,tensed
27625,Bodily Force,Male,White,fled
27626,Bodily Force,Female,Black,other/unspecified
27627,Bodily Force,Male,White,commission of crime
27628,Chemical Irritant,Male,Black,fled
27629,Chemical Irritant,Male,Native American,tensed
27630,Bodily Force,Male,Black,fled
27631,Bodily Force,Male,Black,fled
27632,Less Lethal Weapons,Male,White,commission of crime
27633,Bodily Force,Male,White,fled
27634,Bodily Force,Male,Black,tensed
27635,Bodily Force,Male,other,commission of crime
27636,Bodily Force,Male,Black,fled
27637,Bodily Force,Male,other,fled
27638,Bodily Force,Male,Black,fled
27639,Chemical Irritant,Male,other,commission of crime
27640,Bodily Force,Male,White,other/unspecified
27641,Bodily Force,Male,White,assaulting police officer or animal
27642,Less Lethal Weapons,Male,Native American,fled
27643,Bodily Force,Male,Black,commission of crime
27644,Bodily Force,Male,Black,tensed
27645,Bodily Force,Male,Black,tensed
27646,Bodily Force,Male,Black,tensed
27647,Bodily Force,Male,White,other/unspecified
27648,Chemical Irritant,Female,White,verbal non-compliance
27649,Chemical Irritant,Male,White,commission of crime
27650,Less Lethal Weapons,Male,Black,fled
27651,Chemical Irritant,Male,Black,tensed
27652,Bodily Force,Male,White,other/unspecified
27653,Bodily Force,Male,White,assaulting police officer or animal
27654,Bodily Force,Male,Black,fled
27655,Bodily Force,Male,Black,assaulting police officer or animal
27656,Bodily Force,Male,White,fled
27657,Bodily Force,Male,Black,fled
27658,Bodily Force,Male,Black,commission of crime
27659,Bodily Force,Male,Black,tensed
27660,Bodily Force,Male,White,tensed
27661,Bodily Force,Male,Black,fled
27662,Bodily Force,Male,White,fled
27663,Bodily Force,Male,White,fled
27664,Bodily Force,Male,Black,commission of crime
27665,Less Lethal Weapons,Male,White,other/unspecified
27666,Bodily Force,Male,Black,fled
27667,Chemical Irritant,Male,Black,commission of crime
27668,Bodily Force,Male,Black,commission of crime
27669,Less Lethal Weapons,Female,Black,other/unspecified
27670,Bodily Force,Female,Native American,commission of crime
27671,Less Lethal Weapons,Female,Black,verbal non-compliance
27672,Bodily Force,Female,Black,verbal non-compliance
27673,Bodily Force,Male,Black,tensed
27674,Bodily Force,Female,White,commission of crime
27675,Bodily Force,Male,Black,assaulting police officer or animal
27676,Bodily Force,Male,Black,tensed
27677,Bodily Force,Female,White,tensed
27678,Less Lethal Weapons,Male,Black,fled
27679,Bodily Force,Male,Black,assaulting police officer or animal
27680,Chemical Irritant,Male,other,commission of crime
